Market Title,Outcome,Side,Size,Price,Condition ID,Timestamp,Transaction Hash,Event Slug
"Bitcoin Up or Down - April 30, 1:00PM-1:15PM ET",Down,BUY,27.54,0.3,0xd79f4bfbfcf32701047806580112f4e8d42ea9845ec4f83a64f9691b68ec10ec,2026-04-30 20:15:18,0x765dceb1fb2434bbce4c20aa6816fd633b19a2629f3fc9a3e09552d24814b244,btc-updown-15m-1777568400
"Bitcoin Up or Down - April 30, 1:00PM-1:05PM ET",Down,BUY,117,0.5,0x5296a81d1668d4945a678d36b5430803f22d3d6dc108e2c2a498f95cd470bfaa,2026-04-30 20:05:12,0xa1a6090514d2f1a35be7249388dab29d021f7037b8223115a933450fbb4f1049,btc-updown-5m-1777568400
"Bitcoin Up or Down - April 30, 1:00PM-1:05PM ET",Down,BUY,58,0.3,0x5296a81d1668d4945a678d36b5430803f22d3d6dc108e2c2a498f95cd470bfaa,2026-04-30 20:05:10,0x88da8cfe4a322a637ffa46b4c4b28c7688935c87e3076c27cbc4186aaa27ecc4,btc-updown-5m-1777568400
"Bitcoin Up or Down - April 30, 1:00PM-1:05PM ET",Down,BUY,73,0.3,0x5296a81d1668d4945a678d36b5430803f22d3d6dc108e2c2a498f95cd470bfaa,2026-04-30 20:05:10,0x6c9db7e6bfe480fe25cfc29a200cc3e8de7bd49897b8275640ed8675a5561908,btc-updown-5m-1777568400
"Bitcoin Up or Down - April 30, 1:00PM-1:05PM ET",Down,BUY,58,0.4939655172413793,0x5296a81d1668d4945a678d36b5430803f22d3d6dc108e2c2a498f95cd470bfaa,2026-04-30 20:05:10,0x59a4f28ae07596d65de76fc6978746e6bf4c0ded91a38724443479cbec6816f2,btc-updown-5m-1777568400
"Bitcoin Up or Down - April 30, 1:00PM-1:05PM ET",Down,BUY,98,0.3,0x5296a81d1668d4945a678d36b5430803f22d3d6dc108e2c2a498f95cd470bfaa,2026-04-30 20:05:10,0xce417b237726e87091406f49c6db891983ba83efc6e986a144b2737d2e210c72,btc-updown-5m-1777568400
"Bitcoin Up or Down - April 30, 11:40AM-11:45AM ET",Up,BUY,108,0.3,0x5278c24f4593f64757899b0f8ed9b4f26c8b3cc004879ef8091d43fda4f62a02,2026-04-30 18:45:30,0xe156dc40f1b1021dd4f9ec898c67b90096bf243d27b9fcc4cd3fcf4835bae745,btc-updown-5m-1777563600
"Bitcoin Up or Down - April 30, 11:40AM-11:45AM ET",Up,BUY,180,0.3,0x5278c24f4593f64757899b0f8ed9b4f26c8b3cc004879ef8091d43fda4f62a02,2026-04-30 18:45:30,0x01e9719b579a2883f18f69826315a20e6d06b35ab3397f34477c04bea8d92d65,btc-updown-5m-1777563600
"Bitcoin Up or Down - April 30, 11:40AM-11:45AM ET",Up,BUY,135,0.3,0x5278c24f4593f64757899b0f8ed9b4f26c8b3cc004879ef8091d43fda4f62a02,2026-04-30 18:45:30,0xecc1057e6366934f60698a231c316a56bc790f6830dd734af9bf4e72003be8c7,btc-updown-5m-1777563600
"Bitcoin Up or Down - April 30, 6:35AM-6:40AM ET",Up,BUY,13.43,0.3013179448994788,0x0225ea892b4dcd32718989aba8db8d62b4a3b6256ba52369b19cbb2ad23eec6b,2026-04-30 13:40:04,0x72b044cf7b1cd2a8c070d81e7d6e9627dcc7d1564677dabdc794fb0c8633a27d,btc-updown-5m-1777545300
"Bitcoin Up or Down - April 30, 3:15AM-3:20AM ET",Up,BUY,47,0.33,0xe360ccba6eb0cba18a507f893a9f7eacb8f84dc0630b1abfc2dbe96aa171ed42,2026-04-30 10:19:58,0x5ceed99f9a24ca5760c364037508165d90ce0b146b7cfe40c43c354fc1ab8d1b,btc-updown-5m-1777533300
"Bitcoin Up or Down - April 30, 3:15AM-3:20AM ET",Up,BUY,37,0.3244594594594595,0xe360ccba6eb0cba18a507f893a9f7eacb8f84dc0630b1abfc2dbe96aa171ed42,2026-04-30 10:19:58,0xd4971500df84d96107f31d371e20848d020f48bdc03f80d2cf499f10173f2dee,btc-updown-5m-1777533300
