Market Title,Outcome,Condition ID,Realized PnL,Avg Price,Total Bought,Current Price,Trades,Timestamp,Event Slug,End Date
"Bitcoin Up or Down - May 2, 7:50AM-7:55AM ET",Down,0x35d11d475ad64a1d9527c435d6b593f517a7ab353c82a620fbcd40ced4f20366,111.334253,0.762279,468.34,1,1,2026-05-02 14:59:24,btc-updown-5m-1777722600,2026-05-02T00:00:00Z
"BNB Up or Down - May 2, 6:10AM-6:15AM ET",Down,0xec85c17eea8f034651c1366160e8644b22474a7e5431b42b7857ef018c02a888,4.136838,0.986019,295.89,1,1,2026-05-02 13:19:24,bnb-updown-5m-1777716600,2026-05-02T00:00:00Z
"XRP Up or Down - May 2, 4:50AM-4:55AM ET",Down,0x8aca4342614415fdd08fcb70e54078500905fb14d6a51845ee3e20a39ec20e2d,0.08,0.99,8,1,0,2026-05-02 11:59:26,xrp-updown-5m-1777711800,2026-05-02T00:00:00Z
"Ethereum Up or Down - May 2, 4:50AM-4:55AM ET",Down,0x32ff1e42e9dd35976104e7316f168a91c32a5d7203b19415742680b2319dda97,5,0.99,500,1,1,2026-05-02 11:59:24,eth-updown-5m-1777711800,2026-05-02T00:00:00Z
"Bitcoin Up or Down - May 2, 3:15AM-3:20AM ET",Down,0xed676b0d3d56abe67dd17d35c897c38617a0939ebb23e84f98115334a3107ce2,15.3825,0.969235,500,1,1,2026-05-02 10:24:24,btc-updown-5m-1777706100,2026-05-02T00:00:00Z
"Bitcoin Up or Down - May 2, 1:40AM-1:45AM ET",Down,0xb4669f6d1880e8b0f3361f51af6b4ec106b925f546e8bf9d6dfd324c0a42abfd,0.3641,0.99,36.41,1,1,2026-05-02 08:49:24,btc-updown-5m-1777700400,2026-05-02T00:00:00Z
"BNB Up or Down - May 1, 10:40PM-10:45PM ET",Down,0x67737c77289552de79a4879c9fc5fc792ee891550bb15d4edbd05ae27de9e924,3.008071,0.983734,184.93,1,1,2026-05-02 05:49:24,bnb-updown-5m-1777689600,2026-05-02T00:00:00Z
"Dogecoin Up or Down - May 1, 10:15PM-10:20PM ET",Down,0x441187ca693658ff076c37d1050a7f31a65729ecd9d9b75222909dd9aef31326,0.3788,0.99,37.88,1,1,2026-05-02 05:24:24,doge-updown-5m-1777688100,2026-05-02T00:00:00Z
"Solana Up or Down - May 1, 9:55PM-10:00PM ET",Down,0x36aafdbf78c75cda273c7ab241d98a9ef331e03044351411196088147da78fe0,1.126,0.99,112.6,1,0,2026-05-02 05:04:24,sol-updown-5m-1777686900,2026-05-02T00:00:00Z
"Ethereum Up or Down - May 1, 9:45PM-9:50PM ET",Down,0xed80eea324ef0807f0979b30dbdb793a01129da446259010ac36c93fbf33a1ca,193.853874,0.338089,292.87,1,1,2026-05-02 04:54:24,eth-updown-5m-1777686300,2026-05-02T00:00:00Z
"Bitcoin Up or Down - May 1, 8:15PM-8:20PM ET",Down,0x92d83651f27d3f30db6ac94b7d923ee574f284418114a18d862bc1ffe2c880a4,2.1311,0.99,213.11,1,1,2026-05-02 03:24:24,btc-updown-5m-1777680900,2026-05-02T00:00:00Z
"Ethereum Up or Down - May 1, 8:00PM-8:05PM ET",Down,0xd873ac08575f4e17c30d1a6817bf009634b5ebd62adbac6554291781f12d5df4,6.7,0.9866,500,1,1,2026-05-02 03:09:24,eth-updown-5m-1777680000,2026-05-02T00:00:00Z
"Ethereum Up or Down - May 1, 7:40PM-7:45PM ET",Down,0xf039fef53326407c9e032bfd2b1da05e8995a7ad5094d065a061d1427abf28da,0.365,0.99,36.5,1,0,2026-05-02 02:49:24,eth-updown-5m-1777678800,2026-05-01T00:00:00Z
"Hyperliquid Up or Down - May 1, 11:35AM-11:40AM ET",Down,0x081671fc1a431be27dc87f682a7a1b93185b8cf23573ec04155c35bbe5971f11,1.418247,0.98925,131.93,1,1,2026-05-01 18:44:24,hype-updown-5m-1777649700,2026-05-01T00:00:00Z
"Ethereum Up or Down - May 1, 10:10AM-10:15AM ET",Down,0xe2d659a0310f3d47292c94e174d85f8219ec9f2b64bb14edd6ed04517fbc62f3,-172.78,0.43195,400,0,1,2026-05-01 17:19:24,eth-updown-5m-1777644600,2026-05-01T00:00:00Z
"BNB Up or Down - May 1, 7:05AM-7:10AM ET",Down,0x9dd80e76919380e71bce5036e29fff82c581c972d22dc913adaab96eac246de9,10.724072,0.956966,249.2,1,1,2026-05-01 14:14:24,bnb-updown-5m-1777633500,2026-05-01T00:00:00Z
"Dogecoin Up or Down - May 1, 6:55AM-7:00AM ET",Down,0xe01b373362bb2fd2063a4092aaf09ba9b50dc9499aba3532395daf7bb85a411c,4.618577,0.972142,165.79,1,1,2026-05-01 14:04:24,doge-updown-5m-1777632900,2026-05-01T00:00:00Z
"Dogecoin Up or Down - May 1, 6:00AM-6:05AM ET",Down,0xd481ff75b2b723afb7c21c45f528252a08ac673529eb179495cbada9aa40c547,3.821837,0.987294,300.79,1,1,2026-05-01 13:09:24,doge-updown-5m-1777629600,2026-05-01T00:00:00Z
"BNB Up or Down - April 30, 4:20PM-4:25PM ET",Down,0xc61de54a0281fa4a554f0a62267d0c4218eed8a1510f0b91c695b3944d0dfa94,73.6992,0.815752,400,1,1,2026-04-30 23:29:24,bnb-updown-5m-1777580400,2026-04-30T00:00:00Z
"Dogecoin Up or Down - April 30, 3:55PM-4:00PM ET",Down,0xa0a5d7f36fdcc7c7edda0d4a3f96bd80716ebf02ea5429e9b4389c174d4d66ce,5.9724,0.985069,400,1,1,2026-04-30 23:04:24,doge-updown-5m-1777578900,2026-04-30T00:00:00Z
"BNB Up or Down - April 30, 11:55AM-12:00PM ET",Down,0xfac1cd1444334cd5ff7ede7549369efa64f8d8596ff32ec29fdaf77b49835830,6.9576,0.982606,400,1,1,2026-04-30 19:04:24,bnb-updown-5m-1777564500,2026-04-30T00:00:00Z
"BNB Up or Down - April 30, 9:55AM-10:00AM ET",Down,0x0743493f816622bcab44b62e337e990a4db89b10106ac5d77dbd0b2633c1907e,3.820112,0.983534,232,1,1,2026-04-30 17:04:24,bnb-updown-5m-1777557300,2026-04-30T00:00:00Z
"Dogecoin Up or Down - April 30, 7:00AM-7:05AM ET",Down,0x30c202007b6596107a51a5a9860ae4121380d7fdeb6664b8bdf09457b05af642,2.450004,0.986612,183,1,1,2026-04-30 14:09:24,doge-updown-5m-1777546800,2026-04-30T00:00:00Z
"Solana Up or Down - April 30, 4:20AM-4:25AM ET",Down,0xc48d00c9b449348692b1b07a9a9a8cac6479b0f72cd2ccd8449c29ac2f75dcad,4,0.99,400,1,1,2026-04-30 11:29:24,sol-updown-5m-1777537200,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 30, 12:25AM-12:30AM ET",Down,0x531bf286f33e9a846bbc12a740afca59cf5dab718ae90b08d7181933491c025a,1.4704,0.98,73.52,1,1,2026-04-30 07:34:24,btc-updown-5m-1777523100,2026-04-30T00:00:00Z
"XRP Up or Down - April 29, 11:15PM-11:20PM ET",Down,0xed5134eb6224ee5abfd81ecc1264373ef22888cadc8b0b8164cf0c374b197569,4,0.99,400,1,1,2026-04-30 06:24:24,xrp-updown-5m-1777518900,2026-04-30T00:00:00Z
"Dogecoin Up or Down - April 29, 11:10PM-11:15PM ET",Down,0x1eab8f2be913cbfbfc4db357ef2edbe8afd0fc8e4d392edb7412f6da70275ff5,8.784,0.97804,400,1,1,2026-04-30 06:19:24,doge-updown-5m-1777518600,2026-04-30T00:00:00Z
"Dogecoin Up or Down - April 29, 9:45PM-9:50PM ET",Down,0xf5c6035b3e232a73878df601bfc389672c2d70b697cf305bef314f68aa7185cc,4.719518,0.982645,271.94,1,1,2026-04-30 04:54:24,doge-updown-5m-1777513500,2026-04-30T00:00:00Z
"Bitcoin Up or Down - April 29, 4:45PM-4:50PM ET",Down,0x0e3925978f20f0bd816d8e85a7a26489a4c9d9f5c801264981a61e7b376d228e,20.364,0.94909,400,1,1,2026-04-29 23:54:24,btc-updown-5m-1777495500,2026-04-29T00:00:00Z
"Bitcoin Up or Down - April 29, 4:05PM-4:10PM ET",Down,0x852801546bc91bb950fdd6cc26e3626efe0123c8a1d24180724d2f4537153f8e,4,0.99,400,1,1,2026-04-29 23:14:24,btc-updown-5m-1777493100,2026-04-29T00:00:00Z
"BNB Up or Down - April 29, 12:15PM-12:20PM ET",Down,0xaafc88d6c2d4d4396b445c89f3d8b385f857524223bfaf00c85657af5cc50377,0.1874,0.99,18.74,1,1,2026-04-29 19:24:24,bnb-updown-5m-1777479300,2026-04-29T00:00:00Z
"Bitcoin Up or Down - April 29, 11:25AM-11:30AM ET",Down,0x5e830dbe9dd248c970a0301d3ab9637a94181b58fd913eaabe33cb8837c30c13,0.4028,0.99,40.28,1,1,2026-04-29 18:34:24,btc-updown-5m-1777476300,2026-04-29T00:00:00Z
"Dogecoin Up or Down - April 29, 11:10AM-11:15AM ET",Down,0x67501937ab5cd9d97dc99f33a2c3efc1d7dc6880d633d2281ec03d436788ba6a,2.7452,0.98,137.26,1,1,2026-04-29 18:19:24,doge-updown-5m-1777475400,2026-04-29T00:00:00Z
"Dogecoin Up or Down - April 29, 9:45AM-9:50AM ET",Down,0xea961a98f7855707c8afc2dfd1d71c80534f80992c2bb9ee04f27977a1fe0f23,1.2986,0.99,129.86,1,1,2026-04-29 16:54:24,doge-updown-5m-1777470300,2026-04-29T00:00:00Z
"BNB Up or Down - April 29, 9:25AM-9:30AM ET",Down,0xf905a2a91914706221cfd1aea36cf7accb83fe63626e8e1e95dd543adaabe473,0.909441,0.988764,80.94,1,1,2026-04-29 16:34:24,bnb-updown-5m-1777469100,2026-04-29T00:00:00Z
"Dogecoin Up or Down - April 28, 3:45PM-3:50PM ET",Down,0xc94578b72d453d9ac9a3ff3e2902e1ec6cd1a6c9e1bedb39401919124e48179e,12,0.97,400,1,1,2026-04-28 22:54:24,doge-updown-5m-1777405500,2026-04-28T00:00:00Z
"Ethereum Up or Down - April 28, 3:30PM-3:35PM ET",Down,0x19e0e76bef196caf424d425e9d3759552aad1932e3f9815a769f7ef19d45ac04,0.15,0.99,15,1,0,2026-04-28 22:39:24,eth-updown-5m-1777404600,2026-04-28T00:00:00Z
"Bitcoin Up or Down - April 28, 3:20PM-3:25PM ET",Down,0xc0ccbce613768c4e0e60b7285d718928858b13a0dfdae311f9d41507fa507059,18.3228,0.954193,400,1,1,2026-04-28 22:29:24,btc-updown-5m-1777404000,2026-04-28T00:00:00Z
"Dogecoin Up or Down - April 28, 2:05PM-2:10PM ET",Down,0x7ad7c776e9b263c2c0cc658ad12a426f793ec2f9cb9bf52d27b16a2081b64d20,0.1,0.99,10,1,0,2026-04-28 21:14:24,doge-updown-5m-1777399500,2026-04-28T00:00:00Z
"Bitcoin Up or Down - April 27, 8:50PM-8:55PM ET",Down,0x3064f96ab3e3f77c220c5a71008bcf7f29d4cbf2701518e28281a033667e7c14,114,0.715,400,1,1,2026-04-28 03:59:24,btc-updown-5m-1777337400,2026-04-28T00:00:00Z
"XRP Up or Down - April 27, 8:30PM-8:35PM ET",Down,0x84de17e0d757489fa9ebee74e9c0f8209d316101ba91f6dae63816de1b0e3648,1.0345,0.99,103.45,1,1,2026-04-28 03:39:26,xrp-updown-5m-1777336200,2026-04-28T00:00:00Z
"Bitcoin Up or Down - April 27, 8:30PM-8:35PM ET",Down,0xb2fbc03bd613cd7dfcb1a5e629f94e2eacd75d8cb640d15cc3aff3e880151d2c,4,0.99,400,1,0,2026-04-28 03:39:24,btc-updown-5m-1777336200,2026-04-28T00:00:00Z
"BNB Up or Down - April 27, 4:15PM-4:20PM ET",Down,0x730d0af2ec86dfb5c79ed041b67a35a49774634553773c9ad56e53b63dd0b633,14.5,0.96375,400,1,1,2026-04-27 23:24:24,bnb-updown-5m-1777320900,2026-04-27T00:00:00Z
"Solana Up or Down - April 27, 3:55PM-4:00PM ET",Down,0x28783d4eddb52a75252539cf7aa4dcd3101405ffe9295755aa6de32f8f330242,0.2,0.99,20,1,0,2026-04-27 23:04:24,sol-updown-5m-1777319700,2026-04-27T00:00:00Z
"Dogecoin Up or Down - April 27, 2:35PM-2:40PM ET",Down,0x8abaec7ca2645b91eee7455030bc64ad4f64fa2f00191d81b00373a67989f24c,8,0.98,400,1,1,2026-04-27 21:44:26,doge-updown-5m-1777314900,2026-04-27T00:00:00Z
"Bitcoin Up or Down - April 27, 2:35PM-2:40PM ET",Down,0x3eb65321cd152c526e4ad4fdfb42c4bbd144697fd855e0cf41c867a62e31e2b7,38.2872,0.904282,400,1,1,2026-04-27 21:44:24,btc-updown-5m-1777314900,2026-04-27T00:00:00Z
"XRP Up or Down - April 27, 1:55PM-2:00PM ET",Down,0x6b93bfc0a94689cf52301fa8f0609d19bb474e46ad7bb776c390cb2952b43c77,32,0.92,400,1,1,2026-04-27 21:04:24,xrp-updown-5m-1777312500,2026-04-27T00:00:00Z
"Ethereum Up or Down - April 27, 1:40PM-1:45PM ET",Down,0xce8d8d49571a95b1bff57135a3287de77bb9f9608d2b0ddb1150398a9a955105,24,0.94,400,1,1,2026-04-27 20:49:24,eth-updown-5m-1777311600,2026-04-27T00:00:00Z
"XRP Up or Down - April 27, 1:35PM-1:40PM ET",Down,0xfc6c291d56b61dae9c932315614fb883ba013694e25f5d5c1020d342f480f950,0.5688,0.99,56.88,1,1,2026-04-27 20:44:24,xrp-updown-5m-1777311300,2026-04-27T00:00:00Z
"Ethereum Up or Down - April 27, 1:15PM-1:20PM ET",Down,0x77e7bb7ee2fbd857a1d533030c1cfd54adbe28b34cff072f0f4f522f191c786e,86.9,0.78275,400,1,1,2026-04-27 20:24:24,eth-updown-5m-1777310100,2026-04-27T00:00:00Z
"Solana Up or Down - April 27, 12:50PM-12:55PM ET",Down,0x62ae36ab43a31c237f4d9e79d1c0584b9bc840de1c814fdb592d6f6ee6717d9b,1.9106,0.99,191.06,1,0,2026-04-27 19:59:24,sol-updown-5m-1777308600,2026-04-27T00:00:00Z
"Solana Up or Down - April 27, 12:30PM-12:35PM ET",Down,0xe6de8b8119e2f2885fcb3850aaae2f05100ef7d29d75c915db5bedecfa19cb3b,28.7096,0.928226,400,1,1,2026-04-27 19:39:24,sol-updown-5m-1777307400,2026-04-27T00:00:00Z
"Ethereum Up or Down - April 27, 12:25PM-12:30PM ET",Down,0x2348485c4fe8fca1fd459f6c7fc94ed534d16075d31b2e7f206f7e39cf2a8cc0,0.79,0.99,79,1,1,2026-04-27 19:34:24,eth-updown-5m-1777307100,2026-04-27T00:00:00Z
"BNB Up or Down - April 27, 12:00PM-12:05PM ET",Down,0x5f7b9602d6ac951ce064908b0d38ccbac8fdf50508de29cf508834ec4eb3468e,2.3738,0.99,237.38,1,1,2026-04-27 19:09:24,bnb-updown-5m-1777305600,2026-04-27T00:00:00Z
"Dogecoin Up or Down - April 27, 10:00AM-10:05AM ET",Down,0x57a9aaef1efdd6f600d04c6ca0d11d20046ebe1740f8b3afaf754b2fbef17617,38.8856,0.902786,400,1,1,2026-04-27 17:09:24,doge-updown-5m-1777298400,2026-04-27T00:00:00Z
"Dogecoin Up or Down - April 27, 9:15AM-9:20AM ET",Down,0xbfda65b510a8551fc1d4f9025e96bfa06c54c9c5b75b9860f7e0f6a9ba08232e,0.0243,0.99,2.43,1,0,2026-04-27 16:24:24,doge-updown-5m-1777295700,2026-04-27T00:00:00Z
"Hyperliquid Up or Down - April 27, 9:10AM-9:15AM ET",Down,0xf60a46c38ba9487b764674be82e4487dc38ab6255d2c4fcef0531540a9712b47,0.6888,0.99,68.88,1,1,2026-04-27 16:19:24,hype-updown-5m-1777295400,2026-04-27T00:00:00Z
"Solana Up or Down - April 27, 9:00AM-9:05AM ET",Down,0x1c6e0b5ae9f0f877fed46b6cf26469d2da40d78da6605540c5fa2d252a4ad04e,-211.4768,0.528692,400,0,1,2026-04-27 16:09:24,sol-updown-5m-1777294800,2026-04-27T00:00:00Z
"Hyperliquid Up or Down - April 27, 8:15AM-8:20AM ET",Down,0x5c58dd3dc81fb1750c0b08aff7f7213b095deb54f03643c0b9f8afeba6434cd7,1.5044,0.99,150.44,1,1,2026-04-27 15:24:24,hype-updown-5m-1777292100,2026-04-27T00:00:00Z
